Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Social drinker,Social smoker,Weight,Height,Body mass index,Reason for absence_0.0,Reason for absence_1.0,Reason for absence_3.0,Reason for absence_4.0,Reason for absence_5.0,Reason for absence_6.0,Reason for absence_7.0,Reason for absence_8.0,Reason for absence_9.0,Reason for absence_10.0,Reason for absence_11.0,Reason for absence_12.0,Reason for absence_13.0,Reason for absence_14.0,Reason for absence_15.0,Reason for absence_16.0,Reason for absence_17.0,Reason for absence_18.0,Reason for absence_19.0,Reason for absence_21.0,Reason for absence_22.0,Reason for absence_23.0,Reason for absence_24.0,Reason for absence_25.0,Reason for absence_26.0,Reason for absence_27.0,Reason for absence_28.0,Month of absence_0.0,Month of absence_1.0,Month of absence_2.0,Month of absence_3.0,Month of absence_4.0,Month of absence_5.0,Month of absence_6.0,Month of absence_7.0,Month of absence_8.0,Month of absence_9.0,Month of absence_10.0,Month of absence_11.0,Month of absence_12.0,Day of the week_2,Day of the week_3,Day of the week_4,Day of the week_5,Day of the week_6,Seasons_1,Seasons_2,Seasons_3,Seasons_4
50.0,11.0,36.0,284031.0,97.0,0.0,1.0,1.0,0.0,65.0,168.0,23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
11.0,14.0,37.0,205917.0,92.0,0.0,3.0,0.0,0.0,88.0,172.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
51.0,18.0,38.0,253465.0,93.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
50.0,11.0,36.0,253957.0,95.0,0.0,1.0,1.0,0.0,65.0,168.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26.0,9.0,30.0,246288.0,91.0,0.0,3.0,0.0,0.0,56.0,171.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51.0,18.0,38.0,241476.0,92.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
22.0,17.0,40.0,246288.0,91.0,0.0,2.0,0.0,1.0,63.0,170.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26.0,9.0,28.0,253465.0,93.0,0.0,1.0,0.0,0.0,69.0,169.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10.0,10.0,37.0,268519.0,93.0,0.0,1.0,0.0,0.0,83.0,172.0,28.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
22.0,17.0,40.0,237656.0,99.0,0.0,2.0,0.0,1.0,63.0,170.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42.0,7.0,27.0,265615.0,94.0,0.0,1.0,0.0,0.0,58.0,167.0,21.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
25.0,16.0,41.0,377550.0,94.0,0.0,1.0,1.0,0.0,67.0,170.0,23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26.0,9.0,30.0,343253.0,95.0,0.0,3.0,0.0,0.0,56.0,171.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10.0,10.0,37.0,239409.0,98.0,0.0,1.0,0.0,0.0,83.0,172.0,28.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26.0,9.0,28.0,343253.0,95.0,0.0,1.0,0.0,0.0,69.0,169.0,24.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
51.0,18.0,38.0,264249.0,97.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26.0,9.0,30.0,236629.0,93.0,0.0,3.0,0.0,0.0,56.0,171.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
10.0,10.0,37.0,253465.0,93.0,0.0,1.0,0.0,0.0,83.0,172.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
16.0,4.0,28.0,239409.0,98.0,0.0,2.0,0.0,0.0,84.0,182.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26.0,9.0,28.0,241476.0,92.0,0.0,1.0,0.0,0.0,69.0,169.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
10.0,10.0,37.0,308593.0,95.0,0.0,1.0,0.0,0.0,83.0,172.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
51.0,18.0,38.0,378884.0,92.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10.0,10.0,37.0,241476.0,92.0,0.0,1.0,0.0,0.0,83.0,172.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
31.0,12.0,40.0,294217.0,81.0,0.0,1.0,1.0,0.0,73.0,171.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
16.0,4.0,28.0,230290.0,92.0,0.0,2.0,0.0,0.0,84.0,182.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52.0,3.0,28.0,239554.0,97.0,0.0,1.0,1.0,0.0,80.0,172.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52.0,3.0,28.0,261306.0,97.0,0.0,1.0,1.0,0.0,80.0,170.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
22.0,17.0,40.0,313532.0,96.0,0.0,2.0,0.0,1.0,63.0,170.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12.0,14.0,34.0,284031.0,97.0,0.0,1.0,1.0,0.0,95.0,196.0,25.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
51.0,18.0,38.0,268519.0,93.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26.0,9.0,28.0,284853.0,91.0,1.0,1.0,0.0,0.0,69.0,169.0,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
13.0,18.0,50.0,236629.0,93.0,0.0,1.0,1.0,0.0,98.0,178.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
26.0,9.0,28.0,302585.0,99.0,0.0,1.0,0.0,0.0,69.0,169.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51.0,1.0,31.0,264249.0,97.0,0.0,2.0,1.0,0.0,68.0,178.0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51.0,18.0,38.0,251818.0,96.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12.0,14.0,34.0,377550.0,94.0,0.0,1.0,1.0,0.0,95.0,196.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11.0,14.0,37.0,264604.0,93.0,0.0,3.0,0.0,0.0,88.0,172.0,29.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51.0,18.0,38.0,251818.0,96.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22.0,17.0,40.0,306345.0,95.0,0.0,2.0,1.0,1.0,63.0,170.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
26.0,9.0,30.0,261756.0,87.0,0.0,3.0,0.0,0.0,56.0,170.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
51.0,18.0,38.0,253957.0,95.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17.0,12.0,31.0,239409.0,98.0,0.0,1.0,1.0,0.0,70.0,169.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20.0,13.0,43.0,241476.0,92.0,0.0,1.0,1.0,0.0,106.0,167.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
12.0,14.0,34.0,308593.0,95.0,0.0,1.0,1.0,0.0,95.0,196.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25.0,16.0,41.0,261756.0,87.0,0.0,1.0,1.0,0.0,67.0,170.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25.0,14.0,47.0,241476.0,92.0,0.0,1.0,0.0,0.0,86.0,165.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
48.0,29.0,49.0,284853.0,91.0,0.0,1.0,0.0,0.0,108.0,170.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10.0,10.0,37.0,268519.0,93.0,0.0,1.0,0.0,0.0,83.0,172.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
36.0,13.0,33.0,205917.0,92.0,0.0,1.0,1.0,0.0,90.0,172.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
13.0,18.0,50.0,275312.0,98.0,0.0,1.0,1.0,0.0,98.0,178.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
26.0,9.0,30.0,230290.0,92.0,0.0,3.0,0.0,0.0,56.0,171.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20.0,13.0,43.0,265017.0,88.0,0.0,1.0,1.0,0.0,106.0,167.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
42.0,7.0,27.0,308593.0,95.0,0.0,1.0,0.0,0.0,83.0,167.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
